name,description,condition_name,condition_functionName,condition_param_name,condition_param_type,condition_param_actionControl,condition_param_possibleEnumValues,condition_param_defaultEnumValue,condition_param_minNumberValue,condition_param_maxNumberValue,condition_param_defaultNumberValue,condition_param_numberUnit,sensiblevalue_name,sensiblevalue_type,sensiblevalue_unit,sensiblevalue_minValue,sensiblevalue_maxValue,action_name,action_functionName,action_param_name,action_param_type,action_param_actionControl,action_param_possibleEnumValues,action_param_defaultEnumValue,action_param_minNumberValue,action_param_maxNumberValue,action_param_defaultNumberValue,action_param_numberUnit,property_name,property_type
Blynk,Blynk IoT Platform,Compare,,,,,,,,,,,VirtualPin0,INTEGER,NOT_SPECIFIED,0,255,Push value,writeVirtualPin,Virtual Pin,ENUM,DROPDOWN,0,0,,,,,Blink Auth Key,STRING
,,Check value,checkVirtualPinValue,Virtual Pin,ENUM,DROPDOWN,0,0,,,,,VirtualPin1,INTEGER,NOT_SPECIFIED,0,255,,,,,,1,,,,,,Wifi SSID,STRING
,,,,,,,1,,,,,,VirtualPin2,INTEGER,NOT_SPECIFIED,0,255,,,,,,2,,,,,,Wifi Password,STRING
,,,,,,,2,,,,,,VirtualPin3,INTEGER,NOT_SPECIFIED,0,255,,,,,,3,,,,,,,
,,,,,,,3,,,,,,VirtualPin4,INTEGER,NOT_SPECIFIED,0,255,,,,,,4,,,,,,,
,,,,,,,4,,,,,,VirtualPin5,INTEGER,NOT_SPECIFIED,0,255,,,,,,5,,,,,,,
,,,,,,,5,,,,,,VirtualPin6,INTEGER,NOT_SPECIFIED,0,255,,,,,,6,,,,,,,
,,,,,,,6,,,,,,VirtualPin7,INTEGER,NOT_SPECIFIED,0,255,,,,,,7,,,,,,,
,,,,,,,7,,,,,,,,,,,,,Value,VALUE,DROPDOWN,,,,,,,,
,,,,Data,INTEGER,SPINBOX,,,-32768,32767,0,NOT_SPECIFIED,,,,,,,,,,,,,,,,,,
